"","OD","GFP","RFP","Samples","GFP/OD","RFP/OD","Replicate #","OD_mean","GFP_mean","RFP_mean","GFP/OD_mean","RFP/OD_mean","Replicate #_mean"
"1",0.0419000014662743,0,0.5,"PBS",0,11.9331738067469,1,0.0436000004410744,0,0.25,0,5.96658690337344,1.5
"2",0.0452999994158745,0,0,"PBS",0,0,2,0.0436000004410744,0,0.25,0,5.96658690337344,1.5
"3",1.66260004043579,292,43928.5,"pPK48",175.628529350608,26421.5679848569,1,1.64923334121704,298.666666666667,43888.5,181.201188475803,26612.3302680665,2
"4",1.66299998760223,289,44394.5,"pPK48",173.782322401992,26695.4301448971,2,1.64923334121704,298.666666666667,43888.5,181.201188475803,26612.3302680665,2
"5",1.6220999956131,315,43342.5,"pPK48",194.192713674807,26719.9926744454,3,1.64923334121704,298.666666666667,43888.5,181.201188475803,26612.3302680665,2
"6",1.5702999830246,11692,15.5,"pPK48 + 66",7445.71109112521,9.87072544581259,1,1.57439998785655,11865.3333333333,14.8333333333333,7536.40999350666,9.42221159007798,2
"7",1.58089995384216,11892,14.5,"pPK48 + 66",7522.29764514707,9.17199090604041,2,1.57439998785655,11865.3333333333,14.8333333333333,7536.40999350666,9.42221159007798,2
"8",1.57200002670288,12012,14.5,"pPK48 + 66",7641.2212442477,9.22391841838092,3,1.57439998785655,11865.3333333333,14.8333333333333,7536.40999350666,9.42221159007798,2
"9",1.47549998760223,9624,0.5,"pPK66",6522.53478879355,0.338868183125185,1,1.52013333638509,22136,0.5,14248.8897381899,0.329209726370421,2
"10",1.50220000743866,10225,0.5,"pPK66",6806.68349711583,0.33284515878317,2,1.52013333638509,22136,0.5,14248.8897381899,0.329209726370421,2
"11",1.58270001411438,46559,0.5,"pPK66",29417.4509286605,0.315915837202909,3,1.52013333638509,22136,0.5,14248.8897381899,0.329209726370421,2
